epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,2646.48,0.17686,0.18601,0.10586,0.00192,0.04623,0.99824,0.99726,0.99499,0.99494,0.99824,0.99726,0.99499,0.98089,0.06738,0.08276,0.04461,0.00168,0,0.000445756,0.000445756,0.000445756
39,2715.05,0.17371,0.18195,0.10409,0.00193,0.04555,0.99974,0.99639,0.995,0.99484,0.99974,0.99639,0.995,0.98641,0.07342,0.08594,0.03917,0.00196,0,0.000412749,0.000412749,0.000412749
40,2784.03,0.17483,0.18524,0.1031,0.00188,0.04466,0.99652,0.99509,0.99497,0.99492,0.99652,0.99509,0.99497,0.98237,0.06482,0.08113,0.04671,0.00163,0,0.000379743,0.000379743,0.000379743
41,2854.61,0.10848,0.1042,0.06226,0.00222,0.03693,0.9971,0.9974,0.99499,0.99497,0.9971,0.9974,0.99499,0.98205,0.06858,0.08296,0.03873,0.0017,0,0.000346736,0.000346736,0.000346736
42,2922.63,0.08936,0.09613,0.05329,0.00175,0.03008,0.99528,0.99567,0.99494,0.99493,0.99528,0.99567,0.99494,0.98161,0.06113,0.08191,0.04545,0.00145,0,0.000313729,0.000313729,0.000313729
43,2991.18,0.09325,0.09347,0.05246,0.00189,0.02984,0.99882,0.99766,0.995,0.99494,0.99882,0.99766,0.995,0.98407,0.05992,0.07974,0.02857,0.00151,0,0.000280723,0.000280723,0.000280723
44,3059.71,0.08057,0.08995,0.04831,0.00156,0.02936,0.99902,0.99885,0.995,0.99492,0.99902,0.99885,0.995,0.98325,0.05653,0.07789,0.0317,0.00136,0,0.000247716,0.000247716,0.000247716
45,3128.14,0.07722,0.08768,0.04444,0.0015,0.02857,0.99907,0.99717,0.995,0.99492,0.99907,0.99717,0.995,0.98308,0.05559,0.07741,0.03343,0.00134,0,0.00021471,0.00021471,0.00021471
46,3196.01,0.0749,0.08769,0.04469,0.00146,0.0289,0.99838,0.99668,0.99499,0.99486,0.99838,0.99668,0.99499,0.98037,0.05837,0.07706,0.03461,0.00143,0,0.000181703,0.000181703,0.000181703
47,3264.45,0.07353,0.08648,0.04241,0.00141,0.02851,0.99823,0.99538,0.99499,0.99494,0.99823,0.99538,0.99499,0.98108,0.05513,0.07633,0.03559,0.00137,0,0.000148696,0.000148696,0.000148696
48,3332.75,0.07066,0.08551,0.04107,0.00135,0.02809,0.99945,0.99755,0.995,0.99492,0.99945,0.99755,0.995,0.98146,0.05587,0.0759,0.03056,0.00142,0,0.00011569,0.00011569,0.00011569
49,3401.23,0.06557,0.08446,0.03929,0.00124,0.02811,0.99881,0.99942,0.995,0.99493,0.99881,0.99942,0.995,0.98284,0.04968,0.07597,0.02674,0.00117,0,8.26832e-05,8.26832e-05,8.26832e-05
50,3469.63,0.0654,0.08585,0.03952,0.00124,0.02837,0.99851,0.99936,0.995,0.99492,0.99851,0.99936,0.995,0.98186,0.0534,0.07616,0.02826,0.00129,0,4.96766e-05,4.96766e-05,4.96766e-05
